Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-02-02;13.8;20.7;79.9;
2024-02-03;14.2;22.3;76.9;
2024-02-04;0;22.8;70.5;
2024-02-05;6.6;23.7;61;
2024-02-06;0;24.5;61.5;
2024-02-07;0;24.4;66.8;
2024-02-08;0;25;65.2;
2024-02-09;0;25;65.3;
2024-02-10;0;25.5;63.7;
2024-02-11;0;25.7;61.9;
2024-02-12;0;26.5;58.7;
2024-02-13;0;27.2;55.7;
2024-02-14;71.4;22.5;83.4;
2024-02-15;11.4;20.5;85.9;
2024-02-16;1.2;21.2;76.9;
2024-02-17;0;22.1;71.5;
2024-02-18;0;21.5;77.3;
2024-02-19;19.8;22.5;75.6;
2024-02-20;.8;22;80.8;
2024-02-21;3.8;21.9;80.7;
2024-02-22;22.2;23.7;75.3;
2024-02-23;0;25.2;67.4;
2024-02-24;2.2;23.9;78.2;
2024-02-25;8;24.6;76.2;
2024-02-26;0;24.3;73.5;
2024-02-27;0;26.4;65.4;
2024-02-28;0;25.9;71.7;
2024-02-29;24.8;25.9;70.7;
2024-03-01;.2;24.8;69.9;
2024-03-02;.6;23.3;65.6;
2024-03-03;0;24.2;67.6;
2024-03-04;0;25.2;67.5;
2024-03-05;.4;24.4;74.3;
2024-03-06;70.2;23.4;78;
2024-03-07;0;23.5;75.1;
2024-03-08;0;23.9;77.8;
2024-03-09;32.6;24.9;77.6;
2024-03-10;2.6;23.8;81.1;
2024-03-11;16.6;23.1;69.6;
2024-03-12;.2;22.1;71;
2024-03-13;0;24.3;70.5;
2024-03-14;0;26.3;67.5;
2024-03-15;0;28;56.6;
2024-03-16;0;28.5;55.4;
2024-03-17;0;28.6;56.6;
2024-03-18;0;25;75.5;
2024-03-19;63;24.6;78.8;
2024-03-20;19.2;26;72.2;
2024-03-21;0;27;64;
2024-03-22;7;20.8;85.8;
2024-03-23;4.6;17.6;86.5;
2024-03-24;34;19;86.2;
2024-03-25;0;22;75;
2024-03-26;0;20.8;74.5;
2024-03-27;0;19.7;78.7;
2024-03-28;6;19.1;91;
2024-03-29;12.8;21.9;80.4;
2024-03-30;0;23;72.8;
2024-03-31;.2;23;63.9;
2024-04-01;0;22.3;65.7;
2024-04-02;.8;23.4;63.6;
2024-04-03;0;23.9;65.9;
2024-04-04;0;24.2;69.9;
2024-04-05;0;null;80.5;
2024-04-06;null;22.6;69.8;
2024-04-07;0;22.2;74.3;
2024-04-08;0;22;75.9;
2024-04-09;5.8;22.6;76.3;
2024-04-10;.4;23.2;72.7;
2024-04-11;0;22.1;79.5;
2024-04-12;0;22.8;71.5;
2024-04-13;0;23.4;69;
2024-04-14;0;22.9;73.9;
2024-04-15;0;23.5;72.9;
2024-04-16;.2;25.3;65.3;
2024-04-17;9.2;24.2;74.9;
2024-04-18;.6;18.4;80;
2024-04-19;0;18.3;63.7;
2024-04-20;0;19.8;69.1;
2024-04-21;.2;20.9;66.7;
2024-04-22;0;22.5;61;
2024-04-23;0;23.8;50.3;
2024-04-24;0;24.2;51.1;
2024-04-25;0;22.8;71.8;
2024-04-26;0;23;73;
2024-04-27;0;24.7;64.7;
2024-04-28;0;25.7;55.7;
2024-04-29;0;25.1;64.8;
2024-04-30;0;25.7;55.2;
2024-05-01;0;25.5;48.3;
2024-05-02;0;25.7;47.3;
2024-05-03;0;25;57.5;
2024-05-04;0;25;55.5;
2024-05-05;0;25.2;50.4;
2024-05-06;0;24.3;49.5;
2024-05-07;0;25.3;50.2;
2024-05-08;0;25;51.7;
2024-05-09;0;24.3;55.7;
2024-05-10;0;23.8;64.2;
2024-05-11;0;24.1;57.5;
2024-05-12;0;24.8;46.3;
2024-05-13;0;25.5;39.3;
2024-05-14;0;20.2;76;
2024-05-15;1.4;17.7;79.9;
2024-05-16;0;21.6;67.4;
2024-05-17;0;25.8;47.1;
2024-05-18;0;23.7;54.7;
2024-05-19;0;21.7;71;
2024-05-20;.2;21.2;75.2;
2024-05-21;0;19.9;75.2;
2024-05-22;0;21.8;70.3;
2024-05-23;0;22.6;54.4;
2024-05-24;0;21.3;56.2;
2024-05-25;2.2;17.1;78;
2024-05-26;12.6;15;88;
2024-05-27;45.4;16.4;92.4;
2024-05-28;3.4;18.2;82.3;
2024-05-29;0;14.6;65;
2024-05-30;0;14;71.3;
2024-05-31;0;15.2;72.9;
2024-06-01;0;17.7;62.5;
2024-06-02;.2;17.7;69.3;
2024-06-03;0;19.1;68.5;
2024-06-04;0;17.3;79.4;
2024-06-05;0;18.5;72.2;
2024-06-06;0;18.3;72.7;
2024-06-07;.2;19.3;62.5;
2024-06-08;0;20.2;60.2;
2024-06-09;0;20.6;60.3;
2024-06-10;0;22.3;49.3;
2024-06-11;0;20.6;61.8;
2024-06-12;0;20.7;59.1;
2024-06-13;0;20.2;56.6;
2024-06-14;0;21.9;39.3;
2024-06-15;0;21.6;53;
2024-06-16;0;21.6;54.8;
2024-06-17;0;22.3;44;
2024-06-18;0;21.3;41.3;
2024-06-19;0;21;43.7;
2024-06-20;0;20.3;45.3;
2024-06-21;0;19.3;52.2;
2024-06-22;0;20.4;50.8;
2024-06-23;0;21.8;48.5;
2024-06-24;0;22.5;49.1;
2024-06-25;0;18.6;78.8;
2024-06-26;.2;21.4;61.9;
2024-06-27;0;20.9;65.2;
2024-06-28;0;20.5;62.2;
2024-06-29;0;20;60.3;
2024-06-30;0;13.8;81.3;
2024-07-01;0;13.8;81.6;
2024-07-02;.2;16.7;72.6;
2024-07-03;0;18.6;63.2;
2024-07-04;0;20.3;56.3;
2024-07-05;0;20.8;48.3;
2024-07-06;0;17.9;66.5;
2024-07-07;0;18.4;69;
2024-07-08;0;15.1;81.6;
2024-07-09;25.4;13.5;93.3;
2024-07-10;34.8;17.1;88.3;
2024-07-11;.6;19.2;81;
2024-07-12;0;17;82;
2024-07-13;0;14.9;80.8;
2024-07-14;0;17.8;72;
2024-07-15;0;16.2;77.5;
2024-07-16;0;16.3;79.1;
2024-07-17;0;18.4;67;
2024-07-18;0;18.2;66.4;
2024-07-19;0;16.5;68.1;
2024-07-20;0;15.9;72.2;
2024-07-21;0;17.2;67.4;
2024-07-22;.2;18.7;60.2;
2024-07-23;0;18.4;48.2;
2024-07-24;0;18.7;47.5;
2024-07-25;0;19;53.3;
2024-07-26;0;19.7;48.3;
2024-07-27;0;19.8;50.2;
2024-07-28;0;20.9;50.4;
2024-07-29;0;19.4;58.2;
2024-07-30;2;14.4;86;
2024-07-31;3.2;16.9;74.5;
2024-08-01;0;18.4;70.6;
2024-08-02;0;19;64;
2024-08-03;0;20.8;51.2;
2024-08-04;0;22.1;49.5;
2024-08-05;0;22.9;51.5;
2024-08-06;0;22.7;48.2;
2024-08-07;0;23;42.2;
2024-08-08;0;24.1;33.9;
2024-08-09;.6;19;66.8;
2024-08-10;41.8;11.4;84.3;
2024-08-11;2;12.9;63.2;
2024-08-12;0;14.7;43.8;
2024-08-13;0;10.9;66;
2024-08-14;0;14.2;66.5;
2024-08-15;0;18.9;57.8;
2024-08-16;.2;22.1;46;
2024-08-17;0;23.1;42.9;
2024-08-18;0;23.4;37.5;
2024-08-19;0;23.9;36.4;
2024-08-20;0;23.3;44.7;
2024-08-21;0;20.7;59.1;
2024-08-22;0;23.3;45.2;
2024-08-23;0;24.1;38;
2024-08-24;0;17.7;75.6;
2024-08-25;10;12.2;83.8;
2024-08-26;1;11.4;59.2;
2024-08-27;0;11.6;61.9;
2024-08-28;0;13.9;69.7;
2024-08-29;0;18.6;65.5;
2024-08-30;0;21.9;45.6;
2024-08-31;0;21.6;42;
2024-09-01;0;22.9;38.4;
2024-09-02;0;22.2;49.6;
2024-09-03;0;22;59.1;
2024-09-04;0;24.8;42.8;
2024-09-05;0;21.5;53.5;
2024-09-06;0;17.9;73.7;
2024-09-07;0;22.9;63;
2024-09-08;0;26.2;51;
2024-09-09;0;26;40.6;
2024-09-10;0;25.5;31.5;
2024-09-11;0;26.4;30.8;
2024-09-12;0;26.5;29.2;
2024-09-13;0;26.4;28.6;
2024-09-14;0;24.9;37.6;
2024-09-15;0;19.2;73.3;
2024-09-16;10.4;16.2;87.5;
2024-09-17;2.2;15.3;82.5;
2024-09-18;.2;16.9;75.8;
2024-09-19;0;18.7;77.6;
2024-09-20;.6;23;64.6;
2024-09-21;.8;22.2;60.9;
2024-09-22;0;23.9;59.7;
2024-09-23;0;25.2;47.9;
2024-09-24;0;25.3;49.2;
2024-09-25;0;27;45.1;
2024-09-26;0;28.4;34.9;
2024-09-27;.2;21.7;65;
2024-09-28;1;18.1;65;
2024-09-29;0;20.4;65.5;
2024-09-30;0;23.2;61.8;
2024-10-01;0;26.5;43.6;
2024-10-02;0;26.5;42.7;
2024-10-03;4.4;19.2;77;
2024-10-04;.8;16.5;79.4;
2024-10-05;0;18.2;70.9;
2024-10-06;0;19.6;65.1;
2024-10-07;0;19.6;61.2;
2024-10-08;0;21;65.8;
2024-10-09;0;18.8;76.7;
2024-10-10;.2;20.6;75;
2024-10-11;8.2;21.8;80.1;
2024-10-12;19.2;21.7;71.5;
2024-10-13;.2;19.5;70.9;
2024-10-14;0;19.5;72.4;
2024-10-15;0;20.7;66;
2024-10-16;0;22.6;64.3;
2024-10-17;0;22.7;60.8;
2024-10-18;0;20.6;69.8;
2024-10-19;0;17.3;83.8;
2024-10-20;13.6;16.4;90;
2024-10-21;1.8;20.4;78.1;
2024-10-22;0;24.5;67.4;
2024-10-23;47;23.2;80;
2024-10-24;49.2;23.2;75.3;
2024-10-25;26.4;22.5;74.8;
2024-10-26;.2;24;66.1;
2024-10-27;.4;17.4;83;
2024-10-28;1;18.2;81.3;
2024-10-29;1.2;20;77.7;
2024-10-30;0;20.9;67.1;
2024-10-31;0;20.3;65.4;
2024-11-01;0;21.8;63.9;
2024-11-02;0;21.7;74.9;
2024-11-03;14.4;20.1;85.8;
2024-11-04;9;20;89.3;
2024-11-05;6.2;22.7;76.7;
2024-11-06;.6;22.8;79.5;
2024-11-07;18.8;21.6;84.2;
2024-11-08;19.4;20.1;87.8;
2024-11-09;42.2;18.4;79.9;
2024-11-10;0;18.9;69.4;
2024-11-11;0;22.5;53.4;
2024-11-12;0;22.8;59;
2024-11-13;3.8;16.9;81.4;
2024-11-14;0;17.2;77.8;
2024-11-15;.2;19.7;78.7;
2024-11-16;0;21.4;77.3;
2024-11-17;0;22.2;69;
2024-11-18;0;23.7;62.3;
2024-11-19;0;23;61;
2024-11-20;0;23.3;65.2;
2024-11-21;0;21.6;72.8;
2024-11-22;.4;20.2;74.9;
2024-11-23;.2;20.4;71.2;
2024-11-24;0;18.7;66;
2024-11-25;0;21.4;60.3;
2024-11-26;0;24.7;50.8;
2024-11-27;0;27.6;42.8;
2024-11-28;0;26.9;51;
2024-11-29;10.2;23.4;74.3;
2024-11-30;0;24.5;71.8;
2024-12-01;0;24.2;67.6;
2024-12-02;0;24.7;72.4;
2024-12-03;13;21.7;85.9;
2024-12-04;16;19;79.5;
2024-12-05;.8;20.7;82.9;
2024-12-06;33.4;25.7;71;
2024-12-07;0;27;57.5;
2024-12-08;0;23.5;72.1;
2024-12-09;0;23.6;72.2;
2024-12-10;4.2;22;78.6;
2024-12-11;.8;20.3;71.7;
2024-12-12;0;20.9;65;
2024-12-13;0;21.7;68.9;
2024-12-14;0;22.1;74;
2024-12-15;2.2;23.7;67.5;
2024-12-16;0;24.6;54.6;
2024-12-17;0;22.2;62.3;
2024-12-18;0;21.7;65.1;
2024-12-19;0;23.9;61.3;
2024-12-20;0;23.7;70.9;
2024-12-21;30.4;22.4;78.9;
2024-12-22;19.6;23.3;75.5;
2024-12-23;1;21.5;82.3;
2024-12-24;7.8;21.8;71.5;
2024-12-25;0;23.8;69.6;
2024-12-26;30.6;21.4;86.6;
2024-12-27;59.2;21.4;89;
2024-12-28;2.8;23.5;76.8;
2024-12-29;.8;22.7;73.6;
2024-12-30;2.8;22.1;73.8;
2024-12-31;.8;22.5;70.1;
